x*,z*_ini,z*_fin
-8.294,-5.431,-5.431
-8.29,-5.431,-5.431
-8.285,-5.43,-5.431
-8.281,-5.429,-5.43
-8.277,-5.428,-5.43
-8.272,-5.428,-5.431
-8.268,-5.429,-5.431
-8.264,-5.429,-5.432
-8.259,-5.429,-5.432
-8.255,-5.429,-5.432
-8.25,-5.43,-5.432
-8.246,-5.43,-5.432
-8.242,-5.43,-5.431
-8.237,-5.43,-5.43
-8.233,-5.43,-5.43
-8.228,-5.429,-5.429
-8.224,-5.429,-5.428
-8.22,-5.429,-5.428
-8.215,-5.429,-5.427
-8.211,-5.428,-5.427
-8.206,-5.428,-5.427
-8.202,-5.427,-5.427
-8.198,-5.427,-5.427
-8.193,-5.427,-5.428
-8.189,-5.427,-5.427
-8.185,-5.428,-5.427
-8.18,-5.428,-5.427
-8.176,-5.428,-5.427
-8.171,-5.428,-5.427
-8.167,-5.428,-5.428
-8.163,-5.429,-5.428
-8.158,-5.429,-5.428
-8.154,-5.429,-5.428
-8.149,-5.429,-5.428
-8.145,-5.429,-5.429
-8.141,-5.429,-5.429
-8.136,-5.43,-5.43
-8.132,-5.43,-5.43
-8.127,-5.43,-5.43
-8.123,-5.43,-5.431
-8.119,-5.429,-5.431
-8.114,-5.429,-5.432
-8.11,-5.429,-5.432
-8.106,-5.429,-5.432
-8.101,-5.429,-5.432
-8.097,-5.43,-5.432
-8.092,-5.43,-5.432
-8.088,-5.43,-5.432
-8.084,-5.431,-5.432
-8.079,-5.431,-5.432
-8.075,-5.431,-5.432
-8.07,-5.431,-5.432
-8.066,-5.431,-5.432
-8.062,-5.431,-5.433
-8.057,-5.431,-5.433
-8.053,-5.431,-5.433
-8.048,-5.43,-5.434
-8.044,-5.43,-5.435
-8.04,-5.43,-5.436
-8.035,-5.429,-5.436
-8.031,-5.429,-5.436
-8.027,-5.43,-5.436
-8.022,-5.43,-5.436
-8.018,-5.43,-5.435
-8.013,-5.431,-5.435
-8.009,-5.431,-5.435
-8.005,-5.432,-5.436
-8,-5.432,-5.436
-7.996,-5.432,-5.436
-7.991,-5.432,-5.437
-7.987,-5.432,-5.437
-7.983,-5.432,-5.437
-7.978,-5.432,-5.437
-7.974,-5.432,-5.437
-7.97,-5.433,-5.438
-7.965,-5.433,-5.439
-7.961,-5.433,-5.439
-7.956,-5.432,-5.44
-7.952,-5.432,-5.44
-7.948,-5.432,-5.441
-7.943,-5.432,-5.441
-7.939,-5.432,-5.442
-7.934,-5.433,-5.442
-7.93,-5.433,-5.442
-7.926,-5.432,-5.442
-7.921,-5.432,-5.442
-7.917,-5.432,-5.442
-7.912,-5.432,-5.442
-7.908,-5.432,-5.442
-7.904,-5.432,-5.442
-7.899,-5.432,-5.443
-7.895,-5.433,-5.444
-7.891,-5.433,-5.445
-7.886,-5.434,-5.445
-7.882,-5.435,-5.446
-7.877,-5.435,-5.446
-7.873,-5.436,-5.446
-7.869,-5.436,-5.447
-7.864,-5.436,-5.447
-7.86,-5.437,-5.448
-7.855,-5.436,-5.448
-7.851,-5.436,-5.448
-7.847,-5.437,-5.448
-7.842,-5.437,-5.448
-7.838,-5.437,-5.448
-7.833,-5.437,-5.449
-7.829,-5.438,-5.449
-7.825,-5.438,-5.449
-7.82,-5.438,-5.449
-7.816,-5.438,-5.449
-7.812,-5.439,-5.448
-7.807,-5.44,-5.448
-7.803,-5.44,-5.447
-7.798,-5.441,-5.447
-7.794,-5.441,-5.446
-7.79,-5.441,-5.446
-7.785,-5.441,-5.445
-7.781,-5.442,-5.446
-7.776,-5.442,-5.446
-7.772,-5.443,-5.446
-7.768,-5.443,-5.446
-7.763,-5.443,-5.447
-7.759,-5.443,-5.446
-7.754,-5.443,-5.446
-7.75,-5.443,-5.446
-7.746,-5.443,-5.445
-7.741,-5.442,-5.445
-7.737,-5.442,-5.445
-7.733,-5.442,-5.444
-7.728,-5.442,-5.444
-7.724,-5.442,-5.444
-7.719,-5.442,-5.443
-7.715,-5.442,-5.443
-7.711,-5.442,-5.442
-7.706,-5.442,-5.442
-7.702,-5.442,-5.442
-7.697,-5.442,-5.442
-7.693,-5.442,-5.442
-7.689,-5.442,-5.442
-7.684,-5.442,-5.442
-7.68,-5.442,-5.442
-7.675,-5.442,-5.443
-7.671,-5.443,-5.443
-7.667,-5.443,-5.444
-7.662,-5.443,-5.444
-7.658,-5.444,-5.445
-7.654,-5.444,-5.445
-7.649,-5.444,-5.446
-7.645,-5.444,-5.446
-7.64,-5.444,-5.446
-7.636,-5.443,-5.446
-7.632,-5.443,-5.446
-7.627,-5.443,-5.446
-7.623,-5.443,-5.446
-7.618,-5.442,-5.446
-7.614,-5.442,-5.445
-7.61,-5.441,-5.445
-7.605,-5.441,-5.444
-7.601,-5.44,-5.444
-7.596,-5.44,-5.444
-7.592,-5.439,-5.444
-7.588,-5.439,-5.443
-7.583,-5.439,-5.442
-7.579,-5.439,-5.441
-7.575,-5.439,-5.441
-7.57,-5.439,-5.44
-7.566,-5.44,-5.439
-7.561,-5.44,-5.439
-7.557,-5.44,-5.439
-7.553,-5.439,-5.439
-7.548,-5.439,-5.439
-7.544,-5.438,-5.438
-7.539,-5.438,-5.438
-7.535,-5.438,-5.438
-7.531,-5.437,-5.439
-7.526,-5.437,-5.439
-7.522,-5.437,-5.439
-7.517,-5.437,-5.439
-7.513,-5.436,-5.439
-7.509,-5.436,-5.439
-7.504,-5.436,-5.439
-7.5,-5.436,-5.439
-7.496,-5.436,-5.439
-7.491,-5.436,-5.438
-7.487,-5.436,-5.438
-7.482,-5.436,-5.437
-7.478,-5.436,-5.437
-7.474,-5.436,-5.436
-7.469,-5.436,-5.436
-7.465,-5.436,-5.435
-7.46,-5.436,-5.435
-7.456,-5.436,-5.435
-7.452,-5.436,-5.435
-7.447,-5.436,-5.434
-7.443,-5.436,-5.434
-7.438,-5.436,-5.434
-7.434,-5.436,-5.433
-7.43,-5.436,-5.433
-7.425,-5.436,-5.433
-7.421,-5.435,-5.433
-7.417,-5.435,-5.434
-7.412,-5.435,-5.434
-7.408,-5.434,-5.435
-7.403,-5.434,-5.435
-7.399,-5.433,-5.435
-7.395,-5.433,-5.435
-7.39,-5.433,-5.435
-7.386,-5.432,-5.436
-7.381,-5.432,-5.436
-7.377,-5.432,-5.436
-7.373,-5.432,-5.436
-7.368,-5.431,-5.436
-7.364,-5.431,-5.435
-7.36,-5.43,-5.435
-7.355,-5.43,-5.434
-7.351,-5.43,-5.434
-7.346,-5.43,-5.434
-7.342,-5.43,-5.434
-7.338,-5.43,-5.434
-7.333,-5.431,-5.434
-7.329,-5.431,-5.433
-7.324,-5.431,-5.433
-7.32,-5.431,-5.432
-7.316,-5.431,-5.432
-7.311,-5.431,-5.432
-7.307,-5.431,-5.433
-7.302,-5.431,-5.433
-7.298,-5.431,-5.433
-7.294,-5.43,-5.433
-7.289,-5.43,-5.433
-7.285,-5.429,-5.434
-7.281,-5.428,-5.433
-7.276,-5.427,-5.433
-7.272,-5.427,-5.432
-7.267,-5.428,-5.433
