x*,z*_ini,z*_fin
0.938,NaN,NaN
0.937,1.347,1.339
0.935,1.343,1.335
0.933,1.341,1.334
0.931,1.339,1.332
0.929,1.337,1.331
0.927,1.335,1.329
0.926,1.333,1.328
0.924,1.331,1.324
0.922,1.329,1.323
0.92,1.326,1.321
0.918,1.324,1.319
0.916,1.322,1.316
0.915,1.32,1.313
0.913,1.316,1.311
0.911,1.314,1.307
0.909,1.312,1.306
0.907,1.31,1.304
0.906,1.308,1.304
0.904,1.307,1.303
0.902,1.306,1.302
0.9,1.306,1.301
0.898,1.305,1.301
0.896,1.304,1.301
0.895,1.304,1.3
0.893,1.303,1.298
0.891,1.303,1.298
0.889,1.301,1.297
0.887,1.3,1.297
0.885,1.3,1.296
0.884,1.3,1.295
0.882,1.298,1.294
0.88,1.296,1.293
0.878,1.296,1.292
0.876,1.294,1.291
0.875,1.294,1.291
0.873,1.293,1.289
0.871,1.293,1.289
0.869,1.292,1.288
0.867,1.292,1.288
0.865,1.292,1.288
0.864,1.292,1.287
0.862,1.291,1.286
0.86,1.289,1.286
0.858,1.287,1.285
0.856,1.287,1.285
0.855,1.286,1.283
0.853,1.286,1.283
0.851,1.285,1.282
0.849,1.284,1.28
0.847,1.283,1.279
0.845,1.283,1.279
0.844,1.282,1.279
0.842,1.282,1.279
0.84,1.282,1.279
0.838,1.28,1.277
0.836,1.28,1.277
0.834,1.279,1.276
0.833,1.278,1.274
0.831,1.277,1.274
0.829,1.276,1.273
0.827,1.274,1.27
0.825,1.273,1.269
0.824,1.271,1.268
0.822,1.269,1.267
0.82,1.268,1.265
0.818,1.267,1.265
0.816,1.266,1.263
0.814,1.264,1.26
0.813,1.261,1.257
0.811,1.259,1.255
0.809,1.256,1.251
0.807,1.252,1.248
0.805,1.249,1.245
0.804,1.247,1.243
0.802,1.247,1.242
0.8,1.245,1.24
0.798,1.243,1.24
0.796,1.243,1.238
0.794,1.242,1.238
0.793,1.241,1.237
0.791,1.241,1.237
0.789,1.241,1.236
0.787,1.241,1.236
0.785,1.24,1.236
0.783,1.24,1.234
0.782,1.237,1.232
0.78,1.234,1.23
0.778,1.232,1.228
0.776,1.229,1.226
0.774,1.226,1.222
0.773,1.223,1.22
0.771,1.22,1.218
0.769,1.218,1.215
0.767,1.214,1.212
0.765,1.211,1.211
0.763,1.208,1.208
0.762,1.205,1.204
0.76,1.202,1.203
0.758,1.2,1.201
0.756,1.197,1.199
0.754,1.194,1.196
0.752,1.192,1.193
0.751,1.189,1.19
0.749,1.186,1.187
0.747,1.183,1.185
0.745,1.18,1.183
0.743,1.177,1.18
0.742,1.174,1.177
0.74,1.173,1.175
0.738,1.171,1.173
0.736,1.169,1.173
0.734,1.168,1.171
0.732,1.168,1.169
0.731,1.164,1.167
0.729,1.163,1.165
0.727,1.16,1.163
0.725,1.157,1.159
0.723,1.155,1.157
0.722,1.152,1.156
0.72,1.149,1.155
0.718,1.147,1.155
0.716,1.146,1.155
0.714,1.144,1.153
0.712,1.141,1.152
0.711,1.14,1.15
0.709,1.139,1.149
0.707,1.138,1.148
0.705,1.137,1.148
0.703,1.136,1.148
0.701,1.136,1.148
0.7,1.136,1.148
0.698,1.136,1.148
0.696,1.136,1.148
0.694,1.136,1.148
0.692,1.136,1.148
0.691,1.136,1.148
0.689,1.136,1.148
0.687,1.135,1.148
0.685,1.135,1.148
0.683,1.132,1.148
0.681,1.131,1.148
0.68,1.13,1.148
0.678,1.129,1.148
0.676,1.127,1.148
0.674,1.127,1.148
0.672,1.126,1.147
0.67,1.122,1.146
0.669,1.119,1.144
0.667,1.118,1.143
0.665,1.117,1.143
0.663,1.116,1.14
0.661,1.115,1.139
