Dataset;Experiment;SLR;ΩHs;WR
Atkinson (smallest scale);A1;0.05;0.0417;-0.137600000000001
;A2;0.035;0.0616;0.136000000000001
;A3;0.035;0.0616;0.0522000000000005
;E1;0.065;0.3523;0.291600000000001
;E2;0.065;0.325;0.502450000000001
;E3;0.065;0.325;0.480900000000001
;E4;-0.065;0.325;-0.0217000000000001
;E5;0.05;0.5424;0.402950000000001
;E6;0.065;0.3523;0.414850000000001
Beuzen (slightly larger scale);E11;0.015;0.45;0.124199999999998
;E12;0.015;0.45;0.0855999999999995
;E13;0.015;0.45;0.1264
;E14;0.015;0.45;0.0717000000000017
;E15;0.015;0.45;0.1669
;E2;0.075;0.45;0.6469
Bayle (large scale);E1;0.0999999999999996;2.704;1.06050000000002
;E2;0.100000000000001;2.704;0.950099999999964
;E3;0.100000000000001;2.704;0.900099999999952
;E4;0.0999999999999996;2.704;1.67
