x;z_ini;z_fin
3;-0.600241256601076;-0.600034475769154
3.005;-0.600178540674542;-0.600003496259003
3.01;-0.600114653183163;-0.599977030906045
3.015;-0.600024232691709;-0.599992520661121
3.02;-0.599933812200256;-0.600008010416196
3.025;-0.599934619956646;-0.600053660583176
3.03;-0.59997156376011;-0.600092175372352
3.035;-0.600003146633103;-0.600099517516258
3.04;-0.600029368575624;-0.600106859660164
3.045;-0.600043095192492;-0.600129934969582
3.05;-0.60005196251605;-0.600148115413566
3.055;-0.600099491370321;-0.60016836029566
3.06;-0.600101264835032;-0.600161342069868
3.065;-0.600073589067917;-0.600124939843779
3.07;-0.600057105563714;-0.600145184725873
3.075;-0.60003793999781;-0.60013605007859
3.08;-0.600046321440625;-0.600090864731259
3.085;-0.600027311356559;-0.60007638565865
3.09;-0.599951761759845;-0.600031808356363
3.095;-0.599896252314372;-0.600011856878358
3.1;-0.599880291131967;-0.59998016253044
3.105;-0.599808465811147;-0.599968130254474
3.11;-0.599775276890974;-0.599961712296514
3.115;-0.599769843770539;-0.599961052163695
3.12;-0.599807000369254;-0.599980306037575
3.125;-0.599844156967969;-0.599999559911454
3.13;-0.599881313566683;-0.600004213912167
3.135;-0.599893946810246;-0.599997773435056
3.14;-0.599893946810246;-0.599991332957946
3.145;-0.599917076417627;-0.599984892480835
3.15;-0.599951840356576;-0.599978452003725
3.155;-0.599947436924309;-0.599972011526614
3.16;-0.599945264855912;-0.599941490541064
3.165;-0.599972971059331;-0.599898919543988
3.17;-0.60000067726275;-0.599906272885877
3.175;-0.600028383466169;-0.599916463050017
3.18;-0.600073175161697;-0.599896866580517
3.185;-0.600129455156948;-0.599877270111017
3.19;-0.600116057084127;-0.599868628067967
3.195;-0.6000836337479;-0.599862072582337
3.2;-0.600043439529436;-0.599854468219006
3.205;-0.600003245310972;-0.599821690790854
3.21;-0.599963051092509;-0.599805433186491
3.215;-0.599983504170146;-0.599797150255334
3.22;-0.600023993934334;-0.599833500673364
3.225;-0.600064483698521;-0.599847912733375
3.23;-0.600104973462709;-0.599847912733375
3.235;-0.600145463226896;-0.599832219601362
3.24;-0.600178394901769;-0.599811202013845
3.245;-0.600171646607738;-0.599826064653331
3.25;-0.600164898313706;-0.599840927292817
3.255;-0.600173176221051;-0.599862350726019
3.26;-0.600186672809114;-0.599884644685247
3.265;-0.600200169397177;-0.599908244178729
3.27;-0.600199089670131;-0.599952297042165
3.275;-0.600192041451921;-0.599996349905601
3.28;-0.600144803393702;-0.600039689532201
3.285;-0.600097565335483;-0.600054373820013
3.29;-0.600050327277264;-0.600070194123058
3.295;-0.600021783429319;-0.600103811998085
3.3;-0.600041310407793;-0.600137429873113
3.305;-0.600060837386266;-0.60017104774814
3.31;-0.60008036436474;-0.600204665623168
3.315;-0.600124278369662;-0.600238283498195
3.32;-0.600209589568949;-0.600298162673257
3.325;-0.600256932694474;-0.600349327439152
3.33;-0.60027598670115;-0.600388212661233
3.335;-0.600295040707827;-0.600426586235655
3.34;-0.600314094714503;-0.600464959810076
3.345;-0.60033314872118;-0.600503333384498
3.35;-0.600352202727856;-0.600560124608037
3.355;-0.600349826963105;-0.600619914053526
3.36;-0.600360369729203;-0.600663748258419
3.365;-0.60037209839359;-0.600699621925712
3.37;-0.600383827057977;-0.600735495593005
3.375;-0.600395555722363;-0.600771369260299
3.38;-0.60040728438675;-0.600802729788803
3.385;-0.600354254595382;-0.600832335207779
3.39;-0.600360026721094;-0.600861940626755
3.395;-0.600365798846806;-0.600891546045731
3.4;-0.600371570972519;-0.600921151464707
3.405;-0.600377343098231;-0.600950756883683
3.41;-0.600383115223943;-0.600961908258164
3.415;-0.60038347281417;-0.600956025130034
3.42;-0.600366684375361;-0.600950142001904
3.425;-0.600349895936551;-0.600944258873774
3.43;-0.600333107497742;-0.600938375745645
3.435;-0.600316319058932;-0.600932492617515
3.44;-0.600299530620123;-0.60093151994033
3.445;-0.600282742181313;-0.600943174137007
3.45;-0.600325951132488;-0.600954828333683
3.455;-0.600397394149537;-0.600980001398504
3.46;-0.600468837166587;-0.601014963988532
3.465;-0.600540280183637;-0.601049926578561
3.47;-0.600611723200686;-0.60108488916859
3.475;-0.600683166217736;-0.601036971521553
3.48;-0.600754609234785;-0.600987362441107
3.485;-0.600777270172767;-0.600937753360661
3.49;-0.600799931110749;-0.600896790434235
3.495;-0.60082259204873;-0.600896790434235
3.5;-0.600819419517413;-0.600857883967269
3.505;-0.600818513079894;-0.600896790434235
3.51;-0.600855223799424;-0.600896790434235
3.515;-0.600891959239977;-0.600896790434235
3.52;-0.600914578976253;-0.600896790434235
3.525;-0.600931265666949;-0.600899476141843
3.53;-0.600951215532713;-0.600940780678107
3.535;-0.600986368827779;-0.60102296885616
3.54;-0.601014179978938;-0.601105157034212
3.545;-0.601041991130097;-0.601180691883565
3.55;-0.601101548195283;-0.601208087942916
3.555;-0.601163865774732;-0.601235484002267
3.56;-0.601226183354182;-0.601290242009143
3.565;-0.601273544714563;-0.601347379315805
3.57;-0.60130187088704;-0.601404516622467
3.575;-0.601330197059517;-0.601461653929128
3.58;-0.601366441692878;-0.60151879123579
3.585;-0.601412764367364;-0.601548680613357
3.59;-0.601459087041849;-0.601570884677588
