x;z_ini;z_fin
4.383;-0.613009634055265;-0.611876532137519
4.384;-0.613009634055265;-0.61137130044843
4.385;-0.613009634055265;-0.612623916292974
4.386;-0.613009634055265;-0.612623916292974
4.387;-0.613009634055265;-0.612623916292974
4.388;-0.613009634055265;-0.612623916292974
4.389;-0.613009634055265;-0.612623916292974
4.39;-0.613009634055266;-0.612623916292974
4.391;-0.61375646004481;-0.612437070254111
4.392;-0.613009634055265;-0.612250224215247
4.393;-0.613009634055265;-0.612118684603886
4.394;-0.613009634055265;-0.612118684603886
4.395;-0.613009634055265;-0.611931838565022
4.396;-0.613009634055265;-0.611876532137519
4.397;-0.61325857605178;-0.611876532137519
4.398;-0.613507518048295;-0.611876532137519
4.399;-0.61375646004481;-0.611876532137519
4.4;-0.613507518048295;-0.611876532137519
4.401;-0.61325857605178;-0.611876532137519
4.402;-0.613009634055265;-0.611876532137519
4.403;-0.613383047050038;-0.611876532137519
4.404;-0.61375646004481;-0.611876532137519
4.405;-0.613009634055265;-0.611876532137519
4.406;-0.613383047050038;-0.611931838565023
4.407;-0.61375646004481;-0.612118684603886
4.408;-0.613009634055266;-0.612118684603886
4.409;-0.613009634055265;-0.612118684603886
4.41;-0.613009634055265;-0.612118684603886
4.411;-0.613009634055265;-0.612118684603886
4.412;-0.613009634055265;-0.612118684603886
4.413;-0.613009634055265;-0.612118684603886
4.414;-0.613009634055265;-0.612118684603886
4.415;-0.613009634055265;-0.612118684603886
4.416;-0.613009634055265;-0.612118684603886
4.417;-0.613009634055265;-0.612118684603886
4.418;-0.613009634055265;-0.612118684603886
4.419;-0.613009634055265;-0.612118684603886
4.42;-0.613009634055265;-0.612175485799701
4.421;-0.613009634055265;-0.612324962630792
4.422;-0.613009634055265;-0.612474439461883
4.423;-0.613009634055265;-0.612623916292974
4.424;-0.613009634055265;-0.612623916292974
4.425;-0.613009634055265;-0.612623916292974
4.426;-0.613009634055265;-0.612623916292974
4.427;-0.613009634055265;-0.612623916292974
4.428;-0.613009634055265;-0.612623916292974
4.429;-0.613009634055265;-0.612623916292974
4.43;-0.613009634055265;-0.612623916292974
4.431;-0.612636221060493;-0.612623916292974
4.432;-0.612262808065721;-0.612623916292974
4.433;-0.612636221060493;-0.612623916292974
4.434;-0.613009634055265;-0.612623916292974
4.435;-0.613009634055265;-0.612623916292974
4.436;-0.613009634055265;-0.612623916292974
4.437;-0.613009634055265;-0.612623916292974
4.438;-0.613009634055265;-0.612623916292974
4.439;-0.613009634055265;-0.612623916292974
4.44;-0.613009634055265;-0.612623916292974
4.441;-0.613009634055265;-0.612623916292974
4.442;-0.613009634055265;-0.612623916292974
4.443;-0.613009634055265;-0.612623916292974
4.444;-0.613009634055265;-0.612623916292974
4.445;-0.613009634055265;-0.612623916292974
4.446;-0.613009634055265;-0.612623916292974
4.447;-0.613009634055265;-0.612623916292974
4.448;-0.613009634055265;-0.612623916292974
4.449;-0.613009634055265;-0.612623916292974
4.45;-0.613009634055265;-0.612623916292974
4.451;-0.613009634055265;-0.612474439461883
4.452;-0.613009634055265;-0.612324962630792
4.453;-0.613009634055265;-0.612175485799701
4.454;-0.613009634055265;-0.612118684603886
4.455;-0.613009634055265;-0.612118684603886
4.456;-0.613009634055265;-0.612118684603886
4.457;-0.613009634055265;-0.612250224215247
4.458;-0.613009634055265;-0.612437070254111
4.459;-0.613009634055265;-0.612623916292974
4.46;-0.613009634055265;-0.612623916292974
4.461;-0.613009634055265;-0.612623916292974
4.462;-0.613009634055265;-0.612623916292974
4.463;-0.61325857605178;-0.612623916292974
4.464;-0.613507518048295;-0.612623916292974
4.465;-0.61375646004481;-0.612623916292974
4.466;-0.613383047050037;-0.612623916292974
4.467;-0.613009634055265;-0.612623916292974
4.468;-0.613009634055265;-0.612623916292974
4.469;-0.613009634055265;-0.612623916292974
4.47;-0.613009634055265;-0.612997608370703
4.471;-0.613009634055265;-0.613371300448431
4.472;-0.613009634055265;-0.613371300448431
4.473;-0.613009634055265;-0.613371300448431
4.474;-0.613009634055265;-0.613371300448431
4.475;-0.613009634055265;-0.613371300448431
4.476;-0.613009634055265;-0.613371300448431
4.477;-0.613009634055265;-0.613371300448431
4.478;-0.613009634055265;-0.613371300448431
4.479;-0.613009634055265;-0.613371300448431
4.48;-0.613009634055265;-0.613371300448431
4.481;-0.613009634055265;-0.613122172396612
4.482;-0.613009634055265;-0.612873044344793
4.483;-0.613009634055265;-0.612623916292974
