x;z_ini;z_fin
3;-0.600517854412033;-0.599919917610821
3.005;-0.600577864516147;-0.600062217206384
3.01;-0.600597201694436;-0.60003107502684
3.015;-0.600524700835277;-0.599942125243232
3.02;-0.600438343648747;-0.599838244312815
3.025;-0.600285253069209;-0.599849040957429
3.03;-0.600122291841268;-0.600113685589396
3.035;-0.600093274031629;-0.600192775478037
3.04;-0.60021042412716;-0.600161100116549
3.045;-0.600372271969941;-0.599951520481243
3.05;-0.600361194839075;-0.599836961322391
3.055;-0.600108210042101;-0.599808877725857
3.06;-0.60009008156552;-0.599903941209476
3.065;-0.60009119096683;-0.599888870869785
3.07;-0.600042183217923;-0.599911986047048
3.075;-0.600117520103752;-0.599731924421974
3.08;-0.600232191707376;-0.599712914835071
3.085;-0.600190991778919;-0.599803145107101
3.09;-0.600185420137837;-0.599830365549383
3.095;-0.600096478591585;-0.599699168733478
3.1;-0.600008076098794;-0.599640149916119
3.105;-0.599967236251416;-0.599753530069467
3.11;-0.59987118792463;-0.599840888508204
3.115;-0.599770421016045;-0.599861696766766
3.12;-0.599865493125969;-0.5997411522858
3.125;-0.599853476722368;-0.599809525221441
3.13;-0.599668785973988;-0.599867105404206
3.135;-0.599457857728429;-0.599987708653851
3.14;-0.599518112059416;-0.600041411266719
3.145;-0.599714088303339;-0.600047307091436
3.15;-0.59970252640346;-0.600137601752227
3.155;-0.599585603829218;-0.600261336690817
3.16;-0.5997036277777;-0.600545329718449
3.165;-0.599748910530716;-0.600500417549536
3.17;-0.59985145548815;-0.600344899902278
3.175;-0.600011213224349;-0.600278000556588
3.18;-0.599975619184119;-0.600331568669998
3.185;-0.600039889136492;-0.600270236069526
3.19;-0.600177365720883;-0.600138074468422
3.195;-0.600331101991752;-0.600065730518855
3.2;-0.600595587328775;-0.600206622218736
3.205;-0.600700071207738;-0.600175120475025
3.21;-0.600768945363428;-0.60018703895849
3.215;-0.600838906597773;-0.600258680464634
3.22;-0.600661962017762;-0.600294423255815
3.225;-0.60046360876673;-0.600376929090233
3.23;-0.600281375442419;-0.600801605171736
3.235;-0.600087917584169;-0.600642529265096
3.24;-0.600019354248118;-0.600206653193066
3.245;-0.600084407712081;-0.600264842681075
3.25;-0.600217419335488;-0.600284125566117
3.255;-0.600365193567133;-0.600141495593773
3.26;-0.600460400399723;-0.600093545378232
3.265;-0.600579246169374;-0.600306478995457
3.27;-0.600733231012054;-0.600365553276583
3.275;-0.600845461608815;-0.600451552659744
3.28;-0.600912599761097;-0.600557945311144
3.285;-0.60099815422674;-0.600564676567516
3.29;-0.601047109028601;-0.600520279655008
3.295;-0.601182766944791;-0.600496818365243
3.3;-0.601179724992409;-0.600593223746476
3.305;-0.601287326008924;-0.600773833155701
3.31;-0.601315437103254;-0.600904550290802
3.315;-0.601311956422235;-0.600947144067414
3.32;-0.601449656402981;-0.601170154097314
3.325;-0.601571196936978;-0.601145407713732
3.33;-0.601591015601002;-0.601115966534062
3.335;-0.601481092744691;-0.601201112738435
3.34;-0.601438079770292;-0.601434100911083
3.345;-0.601675985210124;-0.601597060011815
3.35;-0.601960497852458;-0.601552669564637
3.355;-0.601727284259921;-0.601565860251021
3.36;-0.601597118491699;-0.60167084931993
3.365;-0.601733942479652;-0.601768036120052
3.37;-0.601761550887021;-0.60167919301341
3.375;-0.601617024516873;-0.601515916982438
3.38;-0.601655967652511;-0.60132189976237
3.385;-0.601876670524052;-0.601103199830654
3.39;-0.60200998323725;-0.600894818954998
3.395;-0.602107735273978;-0.600748145403233
3.4;-0.602094603829861;-0.600858300344336
3.405;-0.602108777301892;-0.600990765999663
3.41;-0.602196704209614;-0.601242441917918
3.415;-0.602272183895256;-0.601486433140473
3.42;-0.602460886539891;-0.601579918084042
3.425;-0.602279144572292;-0.601612511339779
3.43;-0.602460439418527;-0.601685354306203
3.435;-0.602304642816518;-0.601680206651494
3.44;-0.602190123833531;-0.601680537367127
3.445;-0.602085573719012;-0.601846899525521
3.45;-0.602060287108591;-0.6021173041355
3.455;-0.602105381175152;-0.602196465326525
3.46;-0.601640920817663;-0.602054753604091
3.465;-0.601736619913426;-0.601738673232664
3.47;-0.601904586887747;-0.601673618524049
3.475;-0.602192495702937;-0.601850446911399
3.48;-0.602255882538462;-0.60203223721543
3.485;-0.602370479627596;-0.602056533448663
3.49;-0.602540200936817;-0.601966618863693
3.495;-0.602576344504967;-0.601772958684279
3.5;-0.602466859674047;-0.601926379341222
3.505;-0.602370963326077;-0.602081916893976
3.51;-0.60228393899487;-0.602201099069991
3.515;-0.602070436874793;-0.602203566287774
3.52;-0.601967793043167;-0.602240270120154
3.525;-0.602128852350821;-0.602348308587076
3.53;-0.602312943469083;-0.602405570493423
3.535;-0.602435635731062;-0.602330628008747
3.54;-0.602555957575486;-0.602217352806533
3.545;-0.602620965276098;-0.60218843471824
3.55;-0.602514945496603;-0.602261505768948
3.555;-0.602369362723968;-0.602123251214499
3.56;-0.60228204455669;-0.601973356532646
3.565;-0.60240647979886;-0.601949653809692
3.57;-0.602656212035931;-0.60213168887914
3.575;-0.602703138845327;-0.602279787514116
3.58;-0.602790181588163;-0.602239036710388
3.585;-0.602686522910238;-0.602105312057948
3.59;-0.602772182265084;-0.601991546003751
3.595;-0.602786133295725;-0.601962287464223
3.6;-0.602829345781018;-0.601910012242019
3.605;-0.602842678181743;-0.601918818585707
3.61;-0.602572602109561;-0.602143508910923
3.615;-0.602516710226487;-0.602433296388952
3.62;-0.60267699356953;-0.602360437662995
3.625;-0.602586310505117;-0.602155430569076
3.63;-0.602596123907121;-0.602064562076846
3.635;-0.602669043544043;-0.60214316275561
3.64;-0.602745706995611;-0.60222312715373
3.645;-0.602726379070918;-0.602228266259449
3.65;-0.602494916411414;-0.602199410402507
3.655;-0.602501704675612;-0.602180299094556
3.66;-0.602445667954906;-0.602125229600311
3.665;-0.602307355536781;-0.602109959294193
3.67;-0.602282412685156;-0.602102198672846
3.675;-0.602286368191997;-0.602149602571469
3.68;-0.602261392796223;-0.602255702026742
3.685;-0.602362584971036;-0.602268320284974
3.69;-0.60254430988345;-0.602198525886112
3.695;-0.602698792048563;-0.6020544730482
3.7;-0.602690889489101;-0.602126400830285
3.705;-0.602541146219467;-0.602271715137322
3.71;-0.602467507540069;-0.602338790533582
3.715;-0.602355233599;-0.602267133475432
3.72;-0.602145258447721;-0.602007138877314
3.725;-0.602008266809014;-0.601948315942565
3.73;-0.602006833833683;-0.602033124309115
3.735;-0.602132835988777;-0.601924452548321
3.74;-0.602249093032146;-0.601691687225316
3.745;-0.602333876642912;-0.601721002276702
3.75;-0.602106451178667;-0.60166293608097
3.755;-0.601927478689959;-0.601593893791444
3.76;-0.602079553403976;-0.60151677955834
3.765;-0.602065327500331;-0.60161907547506
3.77;-0.601959935215161;-0.601561817294507
3.775;-0.601932055171381;-0.60150132804406
3.78;-0.602049880851224;-0.601244352489841
3.785;-0.602393269728955;-0.601033745686303
3.79;-0.602560142836145;-0.601161559727603
3.795;-0.602323347213284;-0.601511325490727
3.8;-0.601924244426575;-0.601258048834667
3.805;-0.601691260432016;-0.60094283843605
3.81;-0.601530324122283;-0.601112906931196
3.815;-0.60154789132656;-0.601264824000222
3.82;-0.601762130793481;-0.601255764133061
3.825;-0.601702786166772;-0.601189810404788
3.83;-0.601641181146767;-0.601240565254398
3.835;-0.60167621352275;-0.601249623307539
3.84;-0.601554759263351;-0.601216060070023
3.845;-0.601556605202136;-0.601218813617078
3.85;-0.601529618074533;-0.601286176374121
3.855;-0.601523715812785;-0.601318467650233
3.86;-0.60146730691421;-0.601416626140664
3.865;-0.601460199587748;-0.601458119295498
3.87;-0.601575444725178;-0.601508252982963
3.875;-0.601653247989395;-0.601362491689873
3.88;-0.601514885642129;-0.601175408140455
3.885;-0.601248573043506;-0.601074686567318
3.89;-0.601177025457844;-0.600947041684754
3.895;-0.601245744481565;-0.600750072593405
3.9;-0.601216050191375;-0.600593922430947
3.905;-0.60124072510288;-0.600541169540244
3.91;-0.60123783434803;-0.60067412995259
3.915;-0.601112438998189;-0.601040910922735
3.92;-0.600979056998956;-0.601011533363531
3.925;-0.60121509624557;-0.600933282287893
3.93;-0.601437777566922;-0.600838927650882
3.935;-0.601300469544404;-0.600855678785881
3.94;-0.601289869227544;-0.600686131496964
3.945;-0.601361236839107;-0.600634420059896
3.95;-0.601239356339342;-0.600661192682919
3.955;-0.601223393548524;-0.60088213299477
3.96;-0.60116469093019;-0.600810431817346
3.965;-0.601182113797692;-0.600678061333478
3.97;-0.601112442287054;-0.600544857428083
3.975;-0.601205274611323;-0.600634426646083
3.98;-0.601210483201729;-0.600804606153688
3.985;-0.601076688728869;-0.600915117372587
3.99;-0.60091077395164;-0.60099510455749
3.995;-0.600772103575532;-0.601049109301982
4;-0.600780522451296;-0.600940500283929
4.005;-0.600911639599209;-0.600937948742102
4.01;-0.600856964290358;-0.60057852411521
4.015;-0.60058368052011;-0.600418469365772
4.02;-0.600609094544469;-0.600356046167523
4.025;-0.60081879574802;-0.600398804317624
4.03;-0.600923166974967;-0.600400543155149
4.035;-0.600724801411475;-0.600444689592192
4.04;-0.600660033289092;-0.60041784200602
4.045;-0.600672877425755;-0.60046541039664
4.05;-0.600874289206833;-0.600422337249675
4.055;-0.601045888527478;-0.600403034624515
4.06;-0.600989134929387;-0.600341958086323
4.065;-0.600847345728502;-0.600360076421206
4.07;-0.600937062468288;-0.600400426985296
4.075;-0.601069698766759;-0.600385404692228
4.08;-0.601121689860647;-0.600325473756362
4.085;-0.601212087863824;-0.600334883193405
4.09;-0.601276150406305;-0.600370818276728
4.095;-0.601095692536496;-0.600471591537095
4.1;-0.600794035070796;-0.600533668076764
4.105;-0.600305539514711;-0.600477609725265
4.11;-0.600186003412805;-0.600393115254048
4.115;-0.600389613066286;-0.600456891561454
4.12;-0.600488800046007;-0.600569452627779
4.125;-0.600526523610013;-0.60054545126489
4.13;-0.600655063773951;-0.600610901647867
4.135;-0.600540042019626;-0.600459127947823
4.14;-0.600263202645165;-0.600364792929833
4.145;-0.600178941368839;-0.600485561062418
4.15;-0.600365654004379;-0.600382878614027
4.155;-0.600414129890413;-0.600144853910172
4.16;-0.600456605857062;-0.60025674831696
4.165;-0.600460675419905;-0.600362647770485
4.17;-0.600373029241938;-0.600509441376937
4.175;-0.600244890364734;-0.600550948706923
4.18;-0.600348105639907;-0.600531048740911
4.185;-0.600410638929688;-0.600525907183554
4.19;-0.600440903065473;-0.600520765626197
4.195;-0.600470330495958;-0.600494046267894
4.2;-0.600499757926443;-0.600452913809037
4.205;-0.600529185356928;-0.600411781350179
4.21;-0.600563788714749;-0.600390975978549
4.215;-0.600609189104086;-0.600437249994763
4.22;-0.600649480516978;-0.600483524010977
4.225;-0.600682600611848;-0.600484774724697
4.23;-0.60071314944798;-0.600479482053178
4.235;-0.600744579858537;-0.600471167098412
4.24;-0.600747782481318;-0.600536172524354
4.245;-0.60088933393022;-0.60067322392045
4.25;-0.601029296218426;-0.600809320182183
4.255;-0.600982615288628;-0.600788990688502
4.26;-0.600828533324791;-0.600497818648452
4.265;-0.600775787064852;-0.600060105430341
4.27;-0.600856885747405;-0.599915796582347
4.275;-0.601029857366615;-0.59993076040625
4.28;-0.601027375181732;-0.600216094880927
4.285;-0.600870024141913;-0.60032867254683
4.29;-0.601024979689906;-0.60044192941816
4.295;-0.60115499585484;-0.600172208755856
4.3;-0.601149996388493;-0.599921069655233
4.305;-0.600834056756416;-0.599906058235817
4.31;-0.600707354863548;-0.600031155046791
4.315;-0.600548296794123;-0.600254175086078
4.32;-0.600153233239254;-0.600451366106365
4.325;-0.600007064139243;-0.600835487639094
4.33;-0.599897106517149;-0.600806996451229
4.335;-0.599772124192911;-0.600355626716158
4.34;-0.599892022754226;-0.599639597116228
4.345;-0.60001209177975;-0.59936569098112
4.35;-0.599888496781413;-0.599611258103845
4.355;-0.599524430010085;-0.600017110082726
4.36;-0.598965852663616;-0.600190574279502
4.365;-0.598288717867243;-0.599831880886209
4.37;-0.597810710759984;-0.599282378982878
4.375;-0.59747718401883;-0.598674555182608
4.38;-0.597028818183704;-0.597746557984927
4.385;-0.596319622328863;-0.597098425950288
4.39;-0.595870142138647;-0.596741096737416
4.395;-0.59578482445365;-0.596486995687018
4.4;-0.595594091324001;-0.596474395431175
4.405;-0.595116578950314;-0.595829334373493
4.41;-0.594443697630602;-0.594824433741219
4.415;-0.593777783574069;-0.59410982906268
4.42;-0.593436857997608;-0.593536551771282
4.425;-0.59314979332956;-0.592599511052925
4.43;-0.592628700060623;-0.591895885157716
4.435;-0.591945040755182;-0.591937608085085
4.44;-0.591404700333957;-0.591650353631575
4.445;-0.590899564414869;-0.591598794995951
4.45;-0.590323556309774;-0.591452193262457
4.455;-0.589815986698917;-0.590288469869474
4.46;-0.58897573675718;-0.589319595705518
4.465;-0.588667954034729;-0.588485340470287
4.47;-0.588021553477309;-0.587744214286532
4.475;-0.586877156714916;-0.587278710842795
4.48;-0.585741488402414;-0.587263677551101
4.485;-0.585329961984807;-0.586744193900839
4.49;-0.584991909033976;-0.585916565102105
4.495;-0.584729449921774;-0.585218620486638
4.5;-0.584108507035007;-0.58428181149815
4.505;-0.583466628245995;-0.583524916686805
4.51;-0.582948025168864;-0.583354334384397
4.515;-0.582336723446153;-0.582852990934183
4.52;-0.582205762425672;-0.582787230185535
4.525;-0.582319946628942;-0.582711387616024
4.53;-0.581872669034816;-0.581915433167493
4.535;-0.58134921510808;-0.581159559707612
4.54;-0.581060711094194;-0.580353655512849
4.545;-0.580398222662777;-0.579614725371076
4.55;-0.579546259681387;-0.579136634112487
4.555;-0.578445828697298;-0.579338102927947
4.56;-0.57808537678734;-0.578946171022867
4.565;-0.577792920323761;-0.579531074406878
4.57;-0.577740805821096;-0.579312183093052
4.575;-0.577785517098644;-0.578372712798298
4.58;-0.577737102792813;-0.577228063468668
4.585;-0.577329703471984;-0.575119452311618
4.59;-0.576667249267868;-0.574216837548827
4.595;-0.575867454931734;-0.574787900953148
4.6;-0.575278609914534;-0.575424046268521
4.605;-0.574804899534927;-0.574765461755965
4.61;-0.574504849807626;-0.575002492347906
4.615;-0.573252115338489;-0.574954193795932
4.62;-0.572961299032371;-0.573876021994786
4.625;-0.57292989931943;-0.572884304321283
4.63;-0.57216167833184;-0.572909971592142
4.635;-0.571577677820251;-0.572597680275565
4.64;-0.570905211569538;-0.571981171399612
4.645;-0.570262462024448;-0.571644957525147
4.65;-0.569991209194495;-0.570840671825407
4.655;-0.569606780962701;-0.571042661339149
4.66;-0.569126031816731;-0.57156069246797
4.665;-0.568630383685021;-0.570880481353021
4.67;-0.568213044310954;-0.569587464833856
4.675;-0.567573183492382;-0.568863124769751
4.68;-0.567096766860708;-0.568266437112208
4.685;-0.566722246836776;-0.568499081034008
4.69;-0.56642625149684;-0.568407663509581
4.695;-0.566021693259858;-0.568364120558102
4.7;-0.565372112487412;-0.567830362034332
4.705;-0.565046982722708;-0.567762542331472
4.71;-0.564571238619717;-0.566740506904793
4.715;-0.564565721953213;-0.565474950421612
4.72;-0.564355707437799;-0.564311196928342
4.725;-0.563965822842292;-0.563117978915729
4.73;-0.563341134218316;-0.563013934096711
4.735;-0.56295460816511;-0.562794587690079
4.74;-0.562731747755851;-0.563079984872406
4.745;-0.561730637399615;-0.563517058163963
4.75;-0.560555780697798;-0.563424741965011
4.755;-0.560334926263978;-0.562606192320014
4.76;-0.560599492895468;-0.561161590141309
4.765;-0.560295988655522;-0.559137522154727
4.77;-0.559672909271569;-0.557555594892914
4.775;-0.558697505239719;-0.55701127613304
4.78;-0.557876687970335;-0.557665533031404
4.785;-0.557601924850241;-0.558655288616106
4.79;-0.557566946336878;-0.559430948283531
4.795;-0.557537823536603;-0.559922437107906
4.8;-0.556934029792432;-0.558608181220225
4.805;-0.556327278466291;-0.556767194149515
4.81;-0.556336332828459;-0.555156454543523
4.815;-0.556269242875491;-0.554660962709862
4.82;-0.556017963959139;-0.554383465214143
4.825;-0.555053735657538;-0.553730409769599
4.83;-0.554029719882871;-0.554274030529693
