Dataset,Experiment,SLR/d,ΩHs/Lo,Non-Dim WR
Atkinson (smallest scale),A1,0.0833333333333333,0.0153665736721111,-0.135184592407218
,A2,0.0583333333333333,0.0120986812530233,0.0924424051019952
,A3,0.0583333333333333,0.0120986812530233,0.0451383664193226
,E1,0.108333333333333,0.192451287051962,0.234557999229329
,E2,0.108333333333333,0.177932033147154,0.276475095394707
,E3,0.108333333333333,0.177932033147154,0.214308535774024
,E4,-0.0977443609022556,0.174332331107434,-0.06
,E5,0.0833333333333333,0.34958510910882,0.193251434083583
,E6,0.015,0.175322273581602,0.0459632003951986
Beuzen (slightly larger scale),E11,0.0147783251231527,0.174910448042161,0.0320179326298459
,E12,0.0145631067961165,0.174513266662484,0.0334409518578382
,E13,0.0143540669856459,0.174136099560581,0.0328974481527854
,E14,0.0141509433962264,0.17378346941957,0.0487917050349041
,E15,0.075,0.175322273581602,0.200677399340648
,E2,0.0249999999999999,0.0481389599167575,0.043727946797312
Bayle (large scale),E1,0.0243902439024392,0.0485176174952174,0.0400839512308706
,E2,0.0238095238095239,0.0488801221941755,0.065591920195967
,E3,0.0232558139534883,0.0492278216786246,0.0528379357134209
,E4,
